Vintage Dell Latitude PPL CPi D300XT Pentium II Windows 98 (For Parts),US,$25.00,For parts or not working,Dell,Intel Pentium II,13.3 in,Black,,,,,Latitude,Notebook/Laptop,,Dell Latitude PPL,Not Included,NOT Included,HDD (Hard Disk Drive),,https://www.ebay.com/itm/256128145825?hash=item3ba26d59a1:g:lB8AAOSwY91koRvr&amdata=enc%3AAQAIAAAA0CKedhuz%2BsRWLuxYvMaOVQSyvpIYizfXH38GJewfrE7z5cYXoe3SWU0BGQ%2B1UNcY9JbELxqdQVAo%2FjR9hL2PWswlC7h7tUR3gQE0MAUcDQHKYgsigNTmQabFY7T55eF5B3pPhe5ZQpWv9yZHRSlfGlDB%2BebY%2Bs5m8tH1XU6fwBek0g5h2RwRuXZTTfn2GnR9%2BVW0%2BqcxFygnbPsljEfx3d2zCSbj%2B7Rqjw%2BFhRJ6B27Oo1mjgWx206Yff5fh0WELw39xEaPqJpytQFUZ%2F782SwQ%3D%7Ctkp%3ABk9SR8ajuI2jYg
"BAD DISPLAY Lenovo IdeaPad 5 15ITL05 15.6"" Laptop i5-1135G7 2.40GHz 8GB RAM",,,For parts or not working,Intel Core i5 11th Gen.,15.6 in,Gray,8 GB,N/A,Intel Iris Xe Graphics,2.40 GHz,Lenovo,IdeaPad,Notebook/Laptop,1920 x 1080,Lenovo IdeaPad 5 15ITL05,Not Included,N/A,Not Included,,https://www.ebay.com/itm/175650468118?hash=item28e5957116:g:7jMAAOSw96FkD4sk&amdata=enc%3AAQAIAAAA4FjnCSAuT5OowMkwW2lGw%2Bj4wCnDdMsXY%2F%2FFgZeikHGaGOY4qt0R%2BB33Ir774A3bfyCUpBkYoE9FryA4mOQpw8LAvIH5A%2Fq3nrXqF4HqcOSq%2BtJFmOqBU6h4BVKR9Jw4c1cJK%2FE5GhM4Uhtl43MCq0qc5lRj0cj8uV7DFCXAskHcMWuUZabOTcl74VcBAmBadS%2FHl9XV8Q1rjpuCKe7yyoN37xDZLRiDBUp4sD4HIlzteZUsQm%2Fub5EBcOAnSI6ICGNQP%2BbkmR6wum9loA3uirpin%2FIqXSDRhq%2FJykroLHxT%7Ctkp%3ABk9SR8ajuI2jYg
"MSI GL65 Leopard 15"" 2020 2.5GHz i5-10300H 24GB RAM - GTX 1650 500 Ssd",US,$575.00,Used,Intel Core  i5-10300H,15 in,Black,24 GB,500 GB,,2.5GHz,MSI,,Laptop,,MSI GL65 Leopard,,24 GB,SSD (Solid State Drive),,https://www.ebay.com/itm/304989360771?hash=item4702c85283:g:LoMAAOSw9xdkkH41&amdata=enc%3AAQAIAAAA4EY65N5I3XZAU%2BQG1zll77fLnx%2BLZrCfnFX9efCwPEEz46mA%2FcOupJW3itEmsPn7wgxPIilfLqARKKrpnDjpHaXoUbiA%2FwFn0Z7S%2BLqxGqJkEqz%2Bwy5%2FB6T2GnunLiHaWjQNhXdhIZ3Hue1q1E2VNXxY%2BI%2FXDzk0TUcHC%2F15FiQgs0YsEJwfEmBO6DMiR8Yg9E%2BG0QFUCXic7wgqzWJOMh7himoXrn7oVO%2FIS0HCKKWLn4ZSBg%2ByEdoxQqxkAg4W0z9ZwnsuQOfOAQmL4aOGZqvU8PRuyl%2BxmQNkjFwrnYCt%7Ctkp%3ABk9SR8ijuI2jYg
,,,,https://www.ebay.com/itm/166193215411?epid=5046105887&hash=item26b1e337b3:g:C5gAAOSwPSVkmJ3-&amdata=enc%3AAQAIAAAAwFlHFik1wAbsncK26g9JCs%2BEpRmNiEYyNypJtxAn4EXC78FJh6Dn5TkaMnF8DxifGmFBcT50KG7j81jtPSp8sZBc%2Bav%2Fr8fptxwb7Td7jkHXKqXZBnUiWUEbC%2Fh%2BaY%2F8MQVD5WpQLr5tyb7jeedHuuxvHMqamhzJTJHKcD%2F1SbDgUQJGA2elRE0Vh2CmPNgE9%2Buhiv4H4NnaI2V54kqG5OVpH8V29wwxOlBvQH6yF5mulaaM6WqXnC0HUpDxuD5IGw%3D%3D%7Ctkp%3ABk9SR8ijuI2jYg
Dell Latitude E7250 Laptop BOOTS Intel Core i5-5300U @ 2.3GHz 8GB RAM NO HDD,US,$50.00,Used,Dell,Intel Core i5-5300U,14 in,,,,,,,,,,,,,,https://www.ebay.com/itm/145159720879?hash=item21cc318faf:g:HxYAAOSwc-Nkm0PR&amdata=enc%3AAQAIAAAAsKU5hgsOtkPfEo8WuhYGxEfHSvaV4D5w3VAQD2D%2BugoygXtxidx1Ytud%2FY1KMdOxvjKlYTmlBZJ6CKCbFGsp5YzrSlKScc43Bjdf0zJhUATikRrI2WyuhgTr4LnyiaI2zbDajTP1%2B1omgfhrqtKvIfxuzvj2aidGRs5Wa%2Fs4rfMmx4VfA18q29foM2%2FWpILwrrQGyPWt72FgcJbi3XX43PXtbzLpMv%2FZtKVL457%2FD1Y3%7Ctkp%3ABk9SR8ijuI2jYg
Lenovo B575 AMD E-450 @ 1.65GHz 6GB RAM 500 GB HDD WINDOWS 10,US,$49.99,Used,AMD E-Series,15.6 in,Black,6GB,,AMD Radeon HD 6320 Graphics,1.65 GHz,Lenovo,B575,Notebook/Laptop,1366 x 768,Lenovo B575 1450,Windows 10,500GB,HDD (Hard Disk Drive),,https://www.ebay.com/itm/334907358490?hash=item4dfa08bd1a:g:b-YAAOSw1d1khXN5&amdata=enc%3AAQAIAAAAwAobb9uDHe1D9SHbaeipR6roikN0P%2FYTiDH3Lk9enZDvANK5amBb%2FOw8HTfp88PIGxEUE9168gTLZFbHH7QsSXvYy%2F5YMTWZfaE3S6cXe4zM2W6CIKaf9fKg6G9v5UV9OUGGBU3ONTxWICmy988VezhDJBtJ76mU9zu7Vux57BOA7Q5ppl1%2Fvr8wEd2fvIgFC6TtIcwA5K4w8l6RPMRyZGEjl8ahpsRtXQ5rgZ%2BhoE1JN88YuEOe5GXvs80o%2BgL7Og%3D%3D%7Ctkp%3ABk9SR8ijuI2jYg
"HP Chromebook x360 14""(32GB,Intel Celeron,1.1 GHz, 4GB) Laptop - White - 7PD76UA",US,$40.00,For parts or not working,Intel Celeron,14 in,White,4 GB,32 GB,Intel UHD Graphics 600,1.10 GHz,HP,HP Chromebook,Notebook/Laptop,1366 x 768,HP Chromebook,Chrome OS,4 GB,eMMC,,https://www.ebay.com/itm/145141627180?epid=7035614753&hash=item21cb1d792c:g:yv8AAOSw5m1kjKA0&amdata=enc%3AAQAIAAAAsL166gPz8GLo%2FfQdfPpPWjbvHbd6EEZYneUX0oAMl%2F3KZOPHFQgY3KGgv%2BtKDGctHZJF2wWp%2Br3ype4ctaQ7c4goi%2F8BINuj2JrIE9q1u9hOgAhiXUKn6vKxFchv9bt0etLLTjvz5QH0cXBp6lCAeodwFX6o60HA3qgTj7K%2FdYsR77iCOCCUzrA8eMogQpvF2A0COxRh8DEjVnCGYTwsrYa7HH%2BDy71h3E6V%2FAikPARH%7Ctkp%3ABk9SR8ijuI2jYg
,,,,https://www.ebay.com/itm/304998304022?epid=6053013235&hash=item470350c916:g:J-YAAOSwNUZkmJ6v&amdata=enc%3AAQAIAAAA4BvhfZaejcoNXtVzlMkJfSzmdIDHdUYAxnbhQ9McMIBtdZ4icJXDsip2uK8clZIby5srtMgb4REK2TEzdGalS8B87TG%2FSQRjJ9bV5PAIgvJXcVVxV3naK4lVOgHeiJPSRIIlDDHdiJMjMkVPGql4gXBI5mnnSfT42VSRrsFk4bgTpTTrtBShiiA0HHHeCTfsNVwmVy%2BYAu6%2Fafl%2BWkHt7bM8%2B8oIiMlSPF9O6NueymFlc8uzYdXxbDSouWEdOvFWEMEvwha79D2n2hoHwwBLG0ju1FemexCXtHEM%2BsewPbXR%7Ctkp%3ABk9SR8ijuI2jYg
Dell Latitude E6440 Core i5 4310M 2.7GHz 4GB RAM 320GB HDD 14'' No OS Laptop,US,$27.00,For parts or not working,Core i5 4310M,14,,4GB,,,2.7GHz,Dell,,Laptop,,E6440,No OS,320GB,,,https://www.ebay.com/itm/134637249880?hash=item1f59016558:g:3p4AAOSwf1lkoIhK&amdata=enc%3AAQAIAAAAsDy64eA8WlHvS8zW4OZZ8TdUwduJj42r%2BLQzOYCmrybaz1YTd5UWs4qJQQ70zgMWtfxrbQEhdeok3qZGgAZV3XW1zNJnBLxETKCywD4IJe%2BsYmGJRgKM68TbCesqQo25VNQO0gPFOLpy4EPBIx3vXaRfCjaZayY1JEsTp9RT7xEoeUdj1BW7pjG5cLVgVWpez9zrS1A10GGrL1%2FXgkDlvAquJekbUVp83HjWE8HQft7P%7Ctkp%3ABk9SR8ijuI2jYg
Lot of 6 Dell Latitude 7480 i5-6300u 2.4 GHz 8GB No HDD/OS/BATT (COSMETIC),US,$335.00,Used,Intel Core i5 6th Gen.,14 in,,8 GB,,,2.40 GHz,Dell,,Notebook/Laptop,,Dell Latitude 7480,Not Included,,Not Included,,https://www.ebay.com/itm/394708094252?hash=item5be66f8d2c:g:W7MAAOSw-h5knGtg&amdata=enc%3AAQAIAAAAsG%2FKDN9xVZdv7Hg5AdqLy0wBUzSImrYCn5n2pEqG6cirs7ov9h3ztqbLwuy0Xf5lqhpSAH5IZKGuFRVWjB1pO5O%2BRVvypx1p6U92I3HHaXWPqZtOdKo3Kboqe6mRaLNCFm3xCm4bLKo6oFAAkDIL8mYzGvX5mjI%2FRXwT1NVcOg0zUGqu%2FXy0ZVKl3rX1r8l46MEuHQGMhOshrxI6WwbsOHqBx5kYn6f4z2p3BEqWxW%2F8%7Ctkp%3ABk9SR8ijuI2jYg
