,Brand,Series,Subseries,Generation
269,intel,core,i7,8
270,intel,core,i7,8
271,intel,core,I3,7
272,intel,core,i5,5
273,intel,core,i7,7
274,intel,core,i5,7
275,intel,core,i5,6
276,intel,core,I3,5
277,intel,core,m,
278,intel,core,i7,8
279,intel,core,i7,8
280,intel,core,i7,11
281,intel,core,i7,8
282,intel,core,i5,5
283,intel,core,i7,8
284,intel,core,i3,3
285,microsoft,sq,2,
286,intel,core,i7,8
287,intel,core,i5,6
288,intel,core,i5,8
289,intel,core,i7,8
290,intel,core,i7,12
291,intel,core,i7,7
292,intel,core,i5,11
293,intel,core,i7,6
294,intel,core,i5,7
295,amd,turion,,
296,amd,ryzen,7,
297,intel,core,i7,6
298,intel,core,i5,
299,intel,core,i5,7
300,intel,core,i5,8
301,intel,core,i5,6
302,intel,core,i7,12
303,intel,core,i9,11
304,intel,core,i5,12
305,amd,ryzen,9,
306,amd,ryzen,9,
307,intel,core,i5,10
308,intel,core,i5,5
309,amd,athlon,,
310,mediatek,,,
311,missing,,,
312,intel,core,i5,3
313,intel,core,i5,10
314,intel,core,i7,3
315,intel,core,i5,3
316,intel,core,i5,10
317,intel,core,i5,6
318,intel,celeron,n,
319,intel,core,i5,3
320,amd,a,6,
321,intel,core,i7,8
322,intel,core,i7,8
323,intel,core,i7,6
324,intel,core,i5,11
325,intel,core,i5,10
326,intel,core,i7,12
327,intel,core,i3,2
328,intel,core,i5,4
329,intel,core,i5,3
330,intel,core,i7,6
331,intel,core,i3,5
332,intel,core,i5,3
333,intel,core,i5,10
334,intel,core,i5,8
335,intel,core,i3,7
336,intel,core,i5,7
337,intel,core,i7,4
338,intel,core,i5,6
339,intel,core,i3,6
340,intel,core,i5,8
341,intel,core,i7,11
342,missing,,,
343,intel,core,i5,6
344,amd,a,10,
345,intel,core,i7,3
346,intel,core,i7,3
347,intel,core,i5,6
348,missing,,,
349,intel,core,i5,7
350,intel,core,i7,4
351,intel,core,i5,8
352,intel,core,i5,10
353,intel,core,i5,6
354,intel,core,i5,4
355,intel,core,i5,11
356,intel,core,i7,10
357,intel,core,i7,8
358,intel,core,i5,7
359,intel,core,i5,6
360,intel,core,i7,5
361,intel,core,i5,7
362,intel,core,i5,6
363,intel,core,i7,4
364,intel,core,i7,10
365,intel,core,i5,6
366,intel,core,i5,2
367,intel,core,I3,12
368,intel,core,i5,1
369,intel,core,i5,8
370,intel,pentium,,
371,intel,core,i7,
372,intel,xeon,e,
373,intel,xeon,e,
374,intel,core,i5,11
375,intel,core,i5,11
376,intel,core,i7,4
377,intel,core,i7,7
378,intel,core,i7,10
379,intel,core,2,
380,intel,core,i5,5
381,intel,core,i7,10
382,intel,core,i5,3
383,intel,core,i7,
384,intel,core,i5,6
385,intel,core,i5,10
386,intel,core,i7,5
387,intel,core,i7,5
388,intel,core,i7,7
389,intel,core,i7,11
390,intel,core,i7,11
391,intel,core,i7,12
392,intel,core,i7,9
393,amd,sempron,,
394,intel,core,i5,6
395,intel,core,i7,5
396,intel,core,i5,8
397,intel,core,i5,5
398,intel,core,i7,9
399,amd,a,,
400,intel,core,i7,6
401,intel,core,i5,8
402,intel,pentium,,
403,intel,core,i7,8
404,intel,core,i5,12
405,intel,core,i3,3
406,mediatek,,,
407,amd,ryzen,7,
408,intel,core,i5,11
409,intel,core,i5,5
410,intel,core,i5,8
411,intel,core,i5,10
412,intel,core,i7,
413,intel,core,i5,6
414,intel,core,i5,6
415,intel,core,i5,8
416,intel,core,i5,11
417,intel,core,i7,10
418,intel,core,i5,5
419,intel,core,i7,8
420,intel,core,i5,8
421,intel,core,i5,5
422,intel,core,i5,8
423,intel,core,i5,7
424,intel,core,i7,11
425,intel,core,i7,11
426,amd,ryzen,5,
427,intel,core,i7,10
428,intel,core,i7,10
429,intel,core,i7,11
430,intel,celeron,n,
431,intel,core,i7,7
432,intel,celeron,n,
433,intel,core,i7,2
434,intel,core,i5,4
435,intel,core,m5,6
436,intel,core,i7,1
437,intel,core,i9,12
438,intel,core,i7,4
439,intel,core,i7,8
440,intel,core,i3,5
441,intel,core,i5,10
442,amd,ryzen,7,
443,intel,core,i7,
444,intel,core,i7,8
445,intel,xeon,,
446,intel,core,i7,8
447,intel,core,i5,10
448,mediatek,helio,,
449,intel,core,i7,8
450,intel,core,i7,7
451,intel,core,i7,11
452,intel,core,i7,9
453,intel,core,i5,4
454,intel,core,i3,4
455,intel,core,i5,8
456,intel,core,i7,4
457,amd,ryzen,5,
458,intel,core,i7,3
459,intel,core,i5,10
460,intel,core,i5,8
461,intel,core,i7,12
462,intel,core,i5,11
463,intel,core,i7,8
464,intel,core,i5,1
465,intel,core,i7,8
466,intel,core,i7,11
467,intel,core,i7,8
468,intel,celeron,n,
469,intel,core,i5,8
470,intel,core,i5,11
471,intel,core,i7,8
472,Intel,Core,m,3
473,Intel,celeron,n,
474,intel,core,i5,10
475,intel,core,i7,11
476,intel,celeron,n,
477,intel,core,i7,8
478,Intel,celeron,n,
479,missing,,,
480,intel,celeron,n,
481,intel,core,i7,7
482,mediatek,,,
