,,,,https://www.ebay.com/itm/115844970857?epid=7037410499&hash=item1af8e5f969:g:yecAAOSwu9ZkbMoZ&amdata=enc%3AAQAIAAAAwCF29t8%2BYogRCtw%2FjI6h7EmIbk0T1O976Zlf2lmlEYv%2BKDUD86qT75i75ch%2FQjPgMuT4vmuKc690Ctw1s1qc7DKm6RuSykB9uVDK2IZidgcz15vfszXUNouC6DPJNeWsJBDS4cESUxb2L3uK3rJp0lJhLjqe7F7Npzu%2BcWgYOP21JTj4Z0G5M8zGnG0xjGfxZe1a05c8%2BBPI5hXwuFYowivgsz2uqpFvSjJWEjZklDl0wBqPHmbmZRi2B0dcVf3s6g%3D%3D%7Ctkp%3ABk9SR76EuY6jYg
"HP Pavilion 17 Laptop 17.3"" Intel i3 5020U 2.20GHZ 8GB 1TB HDD",US,$185.00,Used,Intel Core i3 5th Gen.,17.3 in,,,Not Applicable,AMD Radeon Graphics,2.20 GHz,HP,,Notebook,,Pavilion,Not Included,1 TB,HDD (Hard Disk Drive),,https://www.ebay.com/itm/285060661365?hash=item425ef08075:g:5~8AAOSw3ZFjih7o&amdata=enc%3AAQAIAAAA4IEL1p2PiM2DTst%2FAc28IW1bdz9483mAJzHeBRXFa7ZAVEnHy4MtdxZmVZiLTFdOxu5ZM0pb2j9yy33NTiLTiemBNSJ5XmvOBXwMD2xAy0Zc8s%2FGEq9wcSz13FdgKzJ6WXKtctRRJpL3f%2BIK59vVXiNZxHx%2BOkVeRFn6etUlfh4zwVrMy6sJ299TNZxDxLnPKFBaX5tkxloRYElPjdW5gdw6dag7qYZziXquL6mP%2F7Kk7xw3q8yRA06UqvpBW5hSi1gfrP6DzVIP12KwE2v1IquD3Ri%2BwL6xisAPnwoD3W6c%7Ctkp%3ABk9SR76EuY6jYg
"Lenovo ThinkPad X13 Gen1 13.3"" Laptop Computer Intel Core i5-10310U 256GB SSD",US,$165.53,Used,Intel Core i5 10th Gen.,13.3 in,,8 GB,256 GB,,2.20 GHz,Lenovo,,Notebook/Laptop,,Lenovo ThinkPad X13 Gen 1,Windows 10 Pro,,SSD (Solid State Drive),,https://www.ebay.com/itm/404353333744?hash=item5e255639f0:g:OZsAAOSwspFkmvsD&amdata=enc%3AAQAIAAAA4DK15vczBC5w6O5vPfkyg%2FpAzsmGGeqSADGNC%2F7JATyJpm%2B6BHKO48%2BOxPCkLeo3zRsoKi1kXh7g5Z%2BRrz4QQo9A941uqoHODpbCshu%2BGD%2FdmdUFGW3alX%2FKu%2FbG0zQTYRgmdceq%2F1rVG%2F0GemW9ydn3sIzaN2vCElqEXVZpaxNSKCGRR%2FX2%2FHxM7pDalzGDEYmxya2xeiwlnhnFgTxSeCwPLZSnCBTDzcfkZlEONa9JJdZFk0zOpMkyTLw2QsMUABCO6w26KbRrCqZ02uRM5NDpzjwoyeVdgLmepqE50LDv%7Ctkp%3ABk9SR76EuY6jYg
"ASUS Zenbook Flip 14"" OLED Laptop 1TB SSD 16GB RAM Ryzen 7 6800H - Black (P5)",US,$590.00,Used,Ryzen 7 6800H,14 in,Black,,1 TB,AMD Radeon Graphics,,ASUS,,,,ZenBook 14 Flip,,,,,https://www.ebay.com/itm/204379390310?hash=item2f95f60166:g:c7kAAOSwXSVkmvpy&amdata=enc%3AAQAIAAAAwPTj66PoE1%2B1S58FejkGomKBn86ZYNuECO0tcowTQwTMoDNu%2Bs92OolA32NX%2BINU%2B%2Fe6r48z3YiJvZwAwi%2ByUSg%2Fgu33YaA44xty8YTiNKcrGi6e5NKC1oDE7G8EPiXu8WumECoEzoNHzTuuO5p%2FKU1r096Ll%2BIXuPqG6kHXOHzWPDbbPvda1f0ULzSbGFpWvkad%2FEecA8UnQMnyfgNWcUxpsWTH8Fed27E8yYCrZvp7%2FwHPEL8LU5Y2v8J3%2BOwfhA%3D%3D%7Ctkp%3ABk9SR76EuY6jYg
LENOVO THINKPAD - T480 - CORE i7 - 8650U - 1.90GHz - NO RAM - NO HDD,US,$110.06,Used,INTEL CORE i7 - 8650U,14in,Black,NO RAM,,Intel HD Graphics,1.90 GHz,Lenovo,ThinkPad,Thinkpad,1920 x 1080,Lenovo ThinkPad - T480,Not Included,,,,https://www.ebay.com/itm/374783028245?hash=item5742cf2c15:g:yK4AAOSwJItknZZs&amdata=enc%3AAQAIAAAAwFnlZhIBeiFNy3z1T%2BE8l3JP%2BSoMw%2BoF%2BG7c9mZniU2tn%2F5w2tGibT4VUlb9gj14FpRIFvNOCyNyuHdKeDyISM1jK9GxaGFHosBkU79XxD5d3BqwQqSDGlaPqZBi6yBCooNFK1GP8wvpg2U2EmAbBo2aNCXSwc2u13snHtv47OuG1CE2ajGC0I7klwWh9OzfxDYCyym%2FNIBwEVldvFeMTpJPYkxc%2FbmrJ48WGqoWfHA83Z20TB1f0CwyHBYUo2MTxg%3D%3D%7Ctkp%3ABk9SR76EuY6jYg
Dell Latitude 7490 i7-8650U 1.9GHz 256GB 16GB UBUNTU 20.04,,,Used,Intel Core i7 8th Gen.,14 in,Black,16 GB,256 GB,,1.9 GHz,Dell,Latitude,Notebook/Laptop,1920 x 1080,Dell Latitude 7490,Ubuntu,,SSD (Solid State Drive),,https://www.ebay.com/itm/175791520665?hash=item28edfdbb99:g:9MkAAOSwNOFkm0u0&amdata=enc%3AAQAIAAAAwDtbYw57YKkEH92PnieKt0OeZGgv1vasuJ1vipOLXf9HAsR4C4spmYh8DxO8c%2B5zZkGg5HpqSasFNxRmXt82r8wFN5%2FBwCyRa%2B8D3jhNJBynX8mBWxnR4wltDkPAlCDWYPkSZI745TuTLuyJk6MXygenBQpsZv8GVTdljqyJIaoZQb7O2lxTx4%2BtmHTLO93J3tFMCT0im%2B6llyaG2iohWRfcvZBYrz97gLEGvml1FYMzcuE%2B%2BkMidx3ninyj1D9rKg%3D%3D%7Ctkp%3ABk9SR76EuY6jYg
Dell Latitude 7200 2-in-1 Laptop Core i7-8665U @1.9 16GB RAM 256GB SSD NO OS,US,$230.50,Used,Dell,Core i7-8665U,"12.3""",,,,,,,,,,,,,,https://www.ebay.com/itm/145159252548?hash=item21cc2a6a44:g:exsAAOSwszlkmvl9&amdata=enc%3AAQAIAAAA0Oo%2FCN0KjRbP3vHD9EtRmZM10uDnYgj8wefjJ9%2FlOxdQS2cHffoWSUu3lOkXvJMqtUILcbZVNY%2FKnvdLsVhtlwICXyuHkBfDfKwMHkYtKEmznftqMTUoRGeN5H4ByYU8psTLGocYGmoaTvCIlRrQXfGcE8ubpUfypI0uPxp%2FM5dzE5P4NHov0bSGFooGJXBVdCaenPvq%2BoiaAkgfk6Ct4UYayjzqBJM16A35aAEY%2Fbf%2F%2Bhi6%2FQ10721122G%2BEq%2BBZpvm%2BaFNWbP80FfycMczgU0%3D%7Ctkp%3ABk9SR76EuY6jYg
Dell Precision 7530 XEON E-2176M 2.70GHz 32G Ram Laptop {NVIDIA P1000}|,US,$309.95,Used,Intel Xeon,15.6 in,,32 GB,,,2.70 GHz,Dell,,Notebook/Laptop,,Precision 7530,Not Included,,,,https://www.ebay.com/itm/334929441000?hash=item4dfb59b0e8:g:Q5QAAOSwxhJknINQ&amdata=enc%3AAQAIAAAAwHl1nsTRCbNmNaF0VX2cPtfwuf5IPAflAzrhfnHt%2Fk%2BIwY6KcBURVBNO4nBIrp0fE2%2FkVKbmPiQTMFZmxG%2Bt5z%2FWiikJQMby5A15ChelAntxG0%2BGiAqHZ2Y0qGTfiQUW%2FC28pd2Z4ST5XyDQMsXHp5PZnYOFMujkkeYO3AybeK9O7LwmKgqNRhs9oMBaW8XmPY40wARdh7LbY7eWAb6rzuy0maQfOkRV7eqDNHEbgcmUBvsvjmz4Q%2BRvxkEko9HoMw%3D%3D%7Ctkp%3ABk9SR76EuY6jYg
"Microsoft Surface Laptop 2 13.5"" Black TOUCH 1.9GHz i7-8650U 16GB 512GB - Good",US,$319.99,Used,Intel Core i7-8650U,13.5 in.,Black,,512GB,,1.90GHz,Microsoft,,Laptop,,Surface Laptop 2,Windows 10 Pro x64,,SSD,,https://www.ebay.com/itm/285060654589?hash=item425ef065fd:g:Bb8AAOSwDT5jiiAg&amdata=enc%3AAQAIAAAAwE77p7xW4aWzjhNiu1f6HiZ5oKKayf88Ld0ismae6XVpMyAHOZPSzac5ouvsm%2Bocum7269sUOJGmQwy0MOiTz4EN%2Booi069FIagpSIgtyZP5emzg9E56glok%2Ba5KtWrPkO0F6RZtLLwRa24fkYud8OwPh%2FRI%2BWqn2SSc8dNDhY6sXpsBTsoQewOQELasxQWvVOfRxC3lnYhKwKkt4E%2B8Y%2BkLo%2FgmbWRgI6xtKxmoO%2B5y4DsYzgKc6TO0bYgb1sEolw%3D%3D%7Ctkp%3ABk9SR8CEuY6jYg
"Dell Latitude 14"" 5410 Intel i5-10310U @ 1.70GHz 8GB DDR4 RAM 256GB SSD NO OS",US,$201.99,Used,Intel Core i5 10th Gen.,14 in,Gray,8 GB,256 GB,,1.70 GHz,Dell,Latitude,Notebook/Laptop,,Dell Latitude 5410,,does not apply,SSD (Solid State Drive),,https://www.ebay.com/itm/374779186417?hash=item5742948cf1:g:RrgAAOSwo1dkmvZZ&amdata=enc%3AAQAIAAAAwDJ27Tp6YFzqCqCbSYe6sywghHRO%2Bb%2BHg0nWrQp%2Fa2VGQOllRIwNj1utcPtxFbvH1DH4HuMgJGogrN6moyafZwBf%2FPSKKpDCibiLRuC3Ilsi3QoZc8a4zm2CEF93%2FzrpoclqJwTlHeLxtMNL5IQV8HZEeMa2CTUwxE%2Fsq%2B2ORhFD2e9hwNVjLeYK1dRnemOX7%2FlvpXRVrROJxzRUuZEIor7tNLK%2BkmlGvXJQKpCjQ71eROaB%2BGlJ0ufqW8TofMu15g%3D%3D%7Ctkp%3ABk9SR8CEuY6jYg
