,0,1,2,3,4,5,6,7,8
158,intel,6,core,i7,9th,gen,,,
159,intel,core,i5,11th,gen.,,,,
160,core,i5,4200u,,,,,,
161,intel,atom,x5,,,,,,
162,intel,core,i7-6650u,,,,,,
163,intel,core,i5,8th,gen.,,,,
164,intel,core,i7,3rd,gen.,,,,
165,intel,core,i7,,,,,,
166,core,i7-12650h,,,,,,,
167,core,i5-6440hq,,,,,,,
168,intel,core,i7-8550u,,,,,,
169,intel,core,i5,8th,gen.,,,,
170,intel,core,i5,8th,gen.,,,,
171,amd,a6,dual-core,,,,,,
172,intel,core,i7,7th,gen.,,,,
173,intel,core,i7,6th,gen.,,,,
174,intel,core,i7,8th,gen.,,,,
175,intel,core,i5-7300u,,,,,,
176,core,i5-6300u,,,,,,,
177,intel,pentium,silver,n5000,quad,cores,,,
178,intel,core,i5,5th,gen.,,,,
179,core,i5-6300u,,,,,,,
180,intel,core,i7,8th,gen.,,,,
181,core,i5-3320m,,,,,,,
182,intel,core,i7,7th,gen.,quad,core,,
183,intel,core,i7,6th,gen.,,,,
184,intel,core,i7,4th,gen.,,,,
185,intel,core,i5-5300u,,,,,,
186,intel,core,i5,7th,gen,,,,
187,intel,core,m,,,,,,
188,intel,core,i3-3110m,,,,,,
189,core,i5-6300u,,,,,,,
190,core,i5-5200u,,,,,,,
191,intel,core,i7,7th,gen.,,,,
192,intel,celeron,n,,,,,,
193,intel,core,i5,10th,gen.,,,,
194,microsoft,sq1,,,,,,,
195,i7-1185g7,,,,,,,,
196,intel,core,i5,6th,gen.,,,,
197,i7-1185g7,,,,,,,,
198,intel,core,i7,3rd,gen.,,,,
199,intel,core,i7,8th,gen.,,,,
200,i7-1065g7,,,,,,,,
201,i7-1065g7,,,,,,,,
202,intel,core,i5,6th,gen.,,,,
203,intel,core,i5,11th,gen.,,,,
204,intel,core,i7-7600u,,,,,,
205,intel,core,i3,4th,gen.,,,,
206,intel,core,i5,4th,gen.,,,,
207,intel,core,i5-8350u,,,,,,
208,intel,celeron,n,,,,,,
209,intel,core,i5,10th,gen.,,,,
210,amd,a8,quad-core,,,,,,
211,i5-7200u,,,,,,,,
212,core,i5-5300u,,,,,,,
213,intel,core,i5,4th,gen.,,,,
214,intel,core,i7,12th,gen.,,,,
215,intell,i5,,,,,,,
216,intel,core,i7,10th,gen.,,,,
217,intel,core,i5,6th,gen.,,,,
218,not,available,,,,,,,
219,intel,core,i7,7th,gen.,,,,
220,intel,pentium,,,,,,,
221,intel,core,i7,6th,gen.,,,,
222,intel,i7-5600u,,,,,,,
223,intel,core,i5-8350u,,,,,,
224,core,i5-5300u,,,,,,,
225,intel,core,i5,4th,gen.,,,,
226,intel,core,i7,12th,gen.,,,,
227,intell,i5,,,,,,,
228,intel,core,i7,10th,gen.,,,,
229,intel,core,i5,6th,gen.,,,,
230,not,available,,,,,,,
231,intel,core,i7,7th,gen.,,,,
232,intel,pentium,,,,,,,
233,intel,core,i7,6th,gen.,,,,
234,intel,i7-5600u,,,,,,,
235,intel,core,i5-8350u,,,,,,
236,missing,,,,,,,,
237,intel,core,i7,7th,gen.,,,,
238,intel,core,i5,5th,gen.,,,,
239,intel,core,i3,8th,gen.,,,,
240,intel,core,i7,12th,gen.,,,,
241,intel,core,i5-6200u,,,,,,
242,intel,core,i7-10610u,,,,,,
243,intel,core,i7,8th,gen.,,,,
244,core,i7-8650u,,,,,,,
245,intel,core,i5-4210u,,,,,,
246,core,i5-5300u,,,,,,,
247,intel,core,i7-4650u,,,,,,
248,intel,core,i5-4310m,,,,,,
249,intel,core,i3-4000m,,,,,,
250,core,i5-6300u,,,,,,,
251,core,i7-2620m,,,,,,,
252,core,i7-8650u,,,,,,,
253,core,i5-7300u,,,,,,,
254,intel,celeron,n4120,,,,,,
255,core,i5-6300u,,,,,,,
256,core,i5-4310u,,,,,,,
257,intel,core,i5-1135g7,,,,,,
258,intel,celeron,n4020,,,,,,
259,core,i5-5300u,,,,,,,
260,core,i7-4600u,,,,,,,
261,intel,core,i5-3427u,,,,,,
262,intel,core,i3-7100u,,,,,,
263,core,i5-5200u,,,,,,,
264,intel,core,i7-7600u,,,,,,
265,core,i5-7200u,,,,,,,
266,core,i5-6200u,,,,,,,
267,core,i3-5005u,,,,,,,
268,intel,core,m5-6y54,,,,,,
269,intel,core,i7,8th,gen.,,,,
270,intel,core,i7,8th,gen.,,,,
271,intel,core,i3-7100u,,,,,,
272,core,i5-5200u,,,,,,,
273,intel,core,i7-7600u,,,,,,
274,core,i5-7200u,,,,,,,
275,core,i5-6200u,,,,,,,
276,core,i3-5005u,,,,,,,
277,intel,core,m5-6y54,,,,,,
278,intel,core,i7,8th,gen.,,,,
279,intel,core,i7,8th,gen.,,,,
280,intel,core,i7,11th,gen.,,,,
281,intel,core,i7-8665u,,,,,,
282,intel,core,i5,5th,gen.,,,,
283,intel,core,i7-8665u,,,,,,
284,intel,core,i3,3rd,gen.,,,,
285,microsoft,sq2,,,,,,,
286,intel,core,i7-8750h,,,,,,
287,intel,core,i5,6th,gen.,,,,
288,intel,core,i5,8th,gen.,,,,
289,intel,core,i7,8th,gen.,,,,
290,intel,core,i7,12th,gen.,,,,
291,intel,core,i7,7th,gen.,,,,
292,intel,core,i5,11th,gen.,,,,
293,intel,core,i7,6th,gen.,,,,
294,core,i5-7300u,,,,,,,
295,amd,turion,64,x2,,,,,
296,amd,ryzen,7,,,,,,
297,intel,core,i7,6th,gen.,,,,
298,intel,i5,m430,,,,,,
299,intel,core,i5,7th,gen.,,,,
300,intel,core,i5,8th,gen.,,,,
301,intel,core,i5,6th,gen.,,,,
302,intel,core,i7,12th,gen.,,,,
303,intel,core,i9,11th,gen.,,,,
304,core,i5,12th,gen,,,,,
305,amd,ryzen,9,,,,,,
306,amd,ryzen,9,,,,,,
307,core,i5-1035g4,,,,,,,
308,core,i5-5200u,,,,,,,
309,amd,athlon,,,,,,,
310,mediatek,mt8173c,,,,,,,
311,missing,,,,,,,,
312,intel,core,i5-2520m,,,,,,
313,intel,core,i5,10th,gen.,,,,
314,intel,core,i7,3rd,gen.,,,,
315,intel,core,i5-3317u,,,,,,
316,intel,core,i5,10th,gen.,,,,
317,intel,core,i5,6th,gen.,,,,
318,intel,celeron,n,,,,,,
319,intel,core,i5,3rd,gen.,,,,
320,amd,a6,,,,,,,
321,intel,core,i7,8th,gen.,,,,
322,intel,core,i7,8th,gen.,,,,
323,intel,core,i7,6th,gen.,,,,
324,intel,core,i5,11th,gen.,,,,
325,intel,core,i5,10th,gen.,,,,
326,intel,core,i7,12th,gen.,,,,
327,intel,core,i3,2nd,gen.,,,,
328,intel,core,i5,4th,gen.,,,,
329,intel,core,i5,3rd,gen.,,,,
330,intel,core,i7,6th,gen.,,,,
331,intel,core,i3,5th,gen.,,,,
332,intel,core,i5,3rd,gen.,,,,
333,intel,core,i5,10th,gen.,,,,
334,intel,core,i5,8th,gen.,,,,
335,intel,core,i3,7th,gen.,,,,
336,intel,core,i5,7th,gen.,,,,
337,intel,core,i7,4th,gen.,,,,
338,intel,core,i5,6th,gen.,,,,
339,intel,core,i3,6th,gen.,,,,
340,i5-8365,u,1.6ghz,,,,,,
341,intel,core,i7,11th,gen.,,,,
342,missing,,,,,,,,
343,intel,core,i5,6th,gen.,,,,
344,amd,a10,,,,,,,
345,intel,core,i7,3rd,gen.,,,,
346,intel,core,i7,3rd,gen.,,,,
347,intel,core,i5,6th,gen.,,,,
348,not,available,,,,,,,
349,intel,core,i5,7th,gen.,,,,
350,intel,core,i7-4940mx,3.10ghz,,,,,
351,intel,core,i5,8th,gen.,,,,
352,intel,core,i5,10th,gen.,,,,
353,intel,core,i5-6300u,,,,,,
354,intel,core,i5-4300u,,,,,,
355,intel,core,i5-11th,gen,,,,,
356,intel,core,i7,10th,gen.,,,,
357,intel,core,i7,8th,,,,,
358,intel,core,i5,7th,gen.,,,,
359,intel,core,i5,6th,gen.,,,,
360,core,i7-5600u,,,,,,,
361,intel,core,i5,7th,gen.,,,,
362,intel,core,i5-6300u,,,,,,
363,intel,core,i7-4600u,,,,,,
364,intel,core,i7,-,10850h,,,,
365,intel,core,i5-6300u,,,,,,
366,intel,core,i5,2nd,gen.,,,,
367,core,i3-1215u,,,,,,,
368,intel,core,i5,1st,gen,,,,
369,intel,core,i5,8th,gen.,,,,
370,intel,pentium,,,,,,,
371,intel,core,i7,3rd,gen.,,,,
372,xeon,e-2176m,,,,,,,
373,e3-1575m,,,,,,,,
374,intel,core,i5,11th,gen.,,,,
375,intel,core,i5,11th,gen.,,,,
376,intel,core,i7,4th,gen.,,,,
377,intel,core,i7,7th,gen.,,,,
378,intel,core,i7,10th,gen.,,,,
379,intel,core,2,duo,t2500,,,,
380,intel,core,i5,5th,gen.,,,,
381,intel,core,i7,10th,gen.,,,,
382,intel,core,i5,3rd,gen.,,,,
383,intel,core,i7,,,,,,
384,intel,core,i5-6300u,,,,,,
385,intel,core,i5-10310u,,,,,,
386,intel,core,i7,5th,gen.,,,,
387,intel,core,i7,5th,gen.,,,,
388,intel,core,i7-7500u,,,,,,
389,intel,core,i7,11th,gen.,,,,
390,intel,core,i7,11th,gen.,,,,
391,intel,core,i7,12th,gen.,,,,
392,intel,core,i7,9th,gen.,,,,
393,amd,sempron,,,,,,,
394,intel,core,i5-6200u,,,,,,
395,intel,core,i7,5th,gen.,,,,
396,intel,core,i5,8th,gen.,,,,
397,intel,core,i5-5200u,,,,,,
398,intel,core,i7,9th,gen.,,,,
399,amd,a4,dual-core,,,,,,
400,intel,core,i7,6th,gen.,,,,
401,core,i5-8265u,,,,,,,
